t,Pmeas,Vmeas
10.668,0.581,-0.705
10.68,0.767,-0.76
10.692,0.908,-0.793
10.704,1.025,-0.804
10.716,1.108,-0.795
10.728,1.157,-0.766
10.74,1.177,-0.716
10.752,1.157,-0.646
10.764,1.108,-0.553
10.776,1.03,-0.436
10.788,0.928,-0.297
10.8,0.806,-0.14
10.812,0.669,0.025
10.824,0.518,0.191
10.836,0.366,0.344
10.848,0.273,0.479
10.86,0.122,0.591
10.872,-0.02,0.679
10.884,-0.146,0.741
10.896,-0.269,0.782
10.908,-0.376,0.802
10.92,-0.469,0.802
10.932,-0.542,0.782
10.944,-0.596,0.744
10.956,-0.63,0.685
10.968,-0.649,0.605
10.98,-0.659,0.5
10.992,-0.635,0.371
11.004,-0.571,0.22
11.016,-0.464,0.055
11.028,-0.322,-0.119
11.04,-0.146,-0.283
11.052,0.063,-0.431
11.064,0.298,-0.556
11.076,0.483,-0.653
11.088,0.645,-0.725
11.1,0.815,-0.773
11.112,0.952,-0.799
11.124,1.055,-0.803
11.136,1.128,-0.788
11.148,1.167,-0.752
11.16,1.172,-0.696
11.172,1.147,-0.619
11.184,1.084,-0.518
11.196,1.001,-0.394
11.208,0.894,-0.249
11.22,0.767,-0.089
11.232,0.625,0.077
11.244,0.469,0.24
11.256,0.317,0.388
11.268,0.22,0.516
11.28,0.078,0.621
11.292,-0.063,0.7
11.304,-0.186,0.756
11.316,-0.303,0.79
11.328,-0.405,0.804
11.34,-0.493,0.798
11.352,-0.562,0.773
11.364,-0.61,0.729
11.376,-0.635,0.663
11.388,-0.654,0.575
11.4,-0.654,0.465
11.412,-0.62,0.329
11.424,-0.542,0.173
11.436,-0.425,0.003
11.448,-0.278,-0.167
11.46,-0.078,-0.328
11.472,0.137,-0.471
11.484,0.361,-0.586
11.496,0.503,-0.677
11.508,0.698,-0.742
11.52,0.864,-0.783
11.532,0.986,-0.802
11.544,1.079,-0.801
11.556,1.143,-0.78
11.568,1.167,-0.738
11.58,1.167,-0.676
11.592,1.128,-0.592
11.604,1.064,-0.484
11.616,0.972,-0.353
11.628,0.854,-0.203
11.64,0.728,-0.04
11.652,0.581,0.127
11.664,0.43,0.285
11.676,0.293,0.429
11.688,0.186,0.55
11.7,0.044,0.646
11.712,-0.098,0.719
11.724,-0.215,0.768
11.736,-0.332,0.797
11.748,-0.43,0.804
11.76,-0.513,0.793
11.772,-0.571,0.761
11.784,-0.62,0.711
11.796,-0.649,0.639
11.808,-0.654,0.544
11.82,-0.645,0.424
11.832,-0.601,0.282
11.844,-0.508,0.121
11.856,-0.381,-0.051
11.868,-0.215,-0.22
11.88,-0.015,-0.376
11.892,0.205,-0.51
11.904,0.425,-0.618
11.916,0.591,-0.7
11.928,0.747,-0.757
11.94,0.898,-0.792
11.952,1.021,-0.804
11.964,1.104,-0.796
11.976,1.157,-0.769
11.988,1.172,-0.721
